poi_id,lat,lng,name,parking,access,capacity_osm
way/384327390,43.0112759,141.4225345,つきさむ温泉駐車場,surface,customers,
way/384328782,43.0117057,141.4216948,つきさむ温泉第2駐車場,surface,customers,
way/384336902,43.0431424,141.3358109,,,,
way/384391972,43.0466792,141.344898,,surface,customers,
way/384489113,43.0443578,141.3400306,,,,
way/384489115,43.0437366,141.3362525,ユニカ 南12西14,surface,customers,
way/384489123,43.0469194,141.3358635,,surface,,
way/384489270,43.0443846,141.342241,,,,
way/384499785,43.0452063,141.3412228,三井のリパーク 札幌南１１西１２第２,surface,customers,10
way/384499893,43.0480145,141.3390293,タイムズ南９西１３第２,surface,customers,16
way/384499902,43.0459869,141.3397562,,surface,private,
way/384541928,43.0408883,141.3271037,,,customers,
way/384584817,43.0255598,141.3777791,タイムズ平岸 ５・１３,surface,yes,8
way/384662501,43.0250359,141.38444,月極駐車場,surface,,14
way/384836241,43.026477,141.3817011,トヨタレンタカーリース新札幌 豊平区役所羊ケ丘通店 専用駐車場,surface,customers,
way/384837124,43.0244317,141.3831517,北海道整形外科記念病院 第二駐車場,surface,customers,39
way/384993719,43.0309484,141.3602713,,surface,customers,
way/385111937,43.0174361,141.4224132,,surface,customers,
way/385113776,43.0180184,141.4218172,,surface,,
way/385113777,43.0183228,141.4202174,,,private,
way/385253846,43.036865,141.3576893,,surface,customers,
way/385253965,43.0378033,141.3591435,シーパーク中の島,surface,customers,
way/385713026,43.0788635,141.5389352,,surface,,
way/386277102,42.900136,140.750343,,,,
way/386277103,42.9001698,140.7518622,,,,
way/386281559,42.9071981,140.7679956,,,,
way/386281560,42.9079457,140.7688017,,,,
way/386281561,42.908018,140.7694393,,,,
way/386389226,43.167527,141.3972559,,surface,,
way/386389239,43.1681141,141.3917292,,surface,,
way/386389242,43.1679927,141.3987204,,surface,,
way/386394340,43.0319612,141.369123,三井のリパーク,surface,,14
way/387129553,43.0132379,141.4180637,,surface,customers,
way/387181384,43.0531368,141.3840527,,multi-storey,private,
way/387758843,43.0449008,141.3435746,,surface,customers,
way/387835140,43.0421063,141.3659119,,surface,private,
way/388258835,43.0502125,141.3666795,,multi-storey,private,
way/389130008,43.0434966,141.3254877,,surface,customers,
way/389130009,43.0439413,141.3253496,,surface,customers,
way/389131168,43.043323,141.3516401,三井のリパーク 札幌南13西6,surface,,6
way/389132876,43.0439425,141.3481903,パークネット札幌南１２西８,surface,,5
way/389132886,43.0467603,141.3502454,花の八幡屋 駐車場,surface,customers,
way/389135745,43.0412088,141.3463158,,,customers,
way/389136419,43.0431159,141.3466616,パークネット,surface,,14
way/389136420,43.0439743,141.344963,パークネット,surface,,12
way/389136746,43.0440162,141.3434295,,,customers,
way/389172796,43.0434454,141.3425286,,,customers,
way/389211234,43.0405423,141.3375495,,surface,customers,
way/389226682,43.0952456,141.2751917,,surface,customers,10
way/389309088,43.0415816,141.335932,,surface,customers,
way/389309091,43.0405954,141.3355958,,,customers,
way/389329356,43.0379636,141.347953,,surface,customers,
way/389338760,43.0399448,141.3426814,,,private,
way/389345443,43.0394795,141.3368703,,,customers,
way/390345923,43.055637,141.3299247,第3駐車場,surface,,
way/390374520,43.0363658,141.3341165,,surface,,
way/390376353,43.0381908,141.3545292,パークネット,surface,,6
way/390446981,43.0355134,141.3448181,,,customers,
way/390446982,43.0344109,141.3446724,,surface,customers,
way/390547963,43.0314569,141.3473173,,,customers,
way/390547964,43.0312528,141.3471216,タイムズ,surface,,24
way/390739296,43.0338548,141.3452806,,,customers,
way/390739299,43.0310214,141.3460066,,surface,customers,
way/390743606,43.0333466,141.3442562,,,customers,
way/390743607,43.0319267,141.3444756,ネクステップ 石山通 パーキング,surface,customers,
way/390743608,43.0313515,141.3445772,タイムズ,surface,,11
way/390743609,43.0303135,141.3437143,タイムズ,surface,,65
way/390778717,43.0307918,141.3417218,,,customers,
way/390785224,43.0323726,141.3333645,,,customers,
way/391693185,43.0301196,141.3412029,,surface,customers,82
way/391696579,43.025546,141.3401635,,surface,customers,
way/392780280,43.0188775,141.3469061,,,customers,
way/393216701,43.0188384,141.3446925,,,,
way/393216722,43.0182431,141.3461205,,surface,,
way/394898937,43.0287097,141.4356265,,surface,customers,
way/394898941,43.0298023,141.4356549,タイムズ,,,
way/394898944,43.0289831,141.4354616,,surface,customers,
way/394898946,43.0296867,141.4360769,タイムズ,,,
way/395586735,43.0102996,141.3456599,,,customers,
way/398985932,43.0713829,141.3566214,代々木セミナー男性寮使用,surface,private,
way/398985934,43.0715711,141.3571024,Monthly Parking,surface,,
way/399000406,43.0286296,141.4328865,,surface,,
way/399000407,43.0303583,141.4370156,,,permissive,
way/399000409,43.0282435,141.4343242,,surface,,
way/400531551,43.0048456,141.3431566,,surface,customers,
way/401544489,42.9902605,141.3531186,,,,
way/401544491,42.9894871,141.3548247,,surface,customers,
way/401544492,42.9895644,141.3532871,,,,
way/401544493,42.9903687,141.35195,,,,
way/401544520,42.9902919,141.3537328,,,,
